region_1,country,coordinates
Cafayate,Argentina,"[-26.0730798, -65.976052]"
Mendoza,Argentina,"[-32.8894587, -68.8458386]"
Salta,Argentina,"[-24.7821269, -65.4231976]"
Luján de Cuyo,Argentina,"[-33.0391038, -68.8798644]"
San Juan,Argentina,"[-31.5351074, -68.5385941]"
Uco Valley,Argentina,"[-33.600036, -69.282703]"
Perdriel,Argentina,"[-33.0764292, -68.8868944]"
Tupungato,Argentina,"[-33.0764292, -68.8868944]"
Valle de Uco,Argentina,"[-33.0764292, -68.8868944]"
Calchaquí Valley,Argentina,"[-26.0746237, -65.9783082]"
Vista Flores,Argentina,"[-33.6509809, -69.1558647]"
Maipú,Argentina,"[-33.6509809, -69.1558647]"
Patagonia,Argentina,"[-33.6509809, -69.1558647]"
Alto Valle del Rio Negro,Argentina,"[-40.00988419999999, -65.3927206]"
La Consulta,Argentina,"[-33.7339291, -69.1199066]"
Agrelo,Argentina,"[-33.1194013, -68.8868944]"
Neuquen,Argentina,"[-38.9516784, -68.0591888]"
Rio Negro Valley,Argentina,"[-41.05556, -71.15194]"
La Rioja,Argentina,"[-29.4135, -66.8565]"
Famatina Valley,Argentina,"[-34.6462843, -58.4101518]"
Argentina,Argentina,"[-38.416097, -63.61667199999999]"
Tulum Valley,Argentina,"[-31.5496953, -68.5583846]"
Buenos Aires,Argentina,"[-34.6036844, -58.3815591]"
Jujuy,Argentina,"[-24.1843397, -65.302177]"
San Carlos,Argentina,"[-41.1334722, -71.3102778]"
Pedernal Valley,Argentina,"[-31.995736, -68.764927]"
Zonda Valley,Argentina,"[-31.550, -68.76]"
Medrano,Argentina,"[-33.1775166, -68.6113055]"
Altos de Mendoza,Argentina,"[-32.90107, -68.842846]"
San Rafael,Argentina,"[-34.6129, -68.3391]"
Catamarca,Argentina,"[-28.4715877, -65.7877209]"
South Australia,Australia,"[-30.0002315, 136.2091547]"
McLaren Vale,Australia,"[-35.2210309, 138.5461247]"
Padthaway,Australia,"[-36.6270289, 140.433893]"
Adelaide Hills,Australia,"[-34.9062557, 138.8397403]"
Barossa Valley,Australia,"[-34.5333333, 138.95]"
Rutherglen,Australia,"[-36.055556, 146.4625]"
Barossa,Australia,"[-34.5333333, 138.95]"
Heathcote,Australia,"[-36.916667, 144.7]"
Clare Valley,Australia,"[-33.8335699, 138.61]"
Yarra Valley,Australia,"[-35.7403876, 147.6562318]"
Great Southern,Australia,"[-30.0002315, 136.2091547]"
South Eastern Australia,Australia,"[-27.6728168, 148.3716902]"
Tasmania,Australia,"[-41.4545196, 145.9706647]"
Mornington Peninsula,Australia,"[-38.2854053, 145.093449]"
Australia,Australia,"[-33.8688, 151.2093]"
Coonawarra,Australia,"[-37.28746, 140.8553875]"
Goulburn Valley,Australia,"[-36.8212556, 145.5833979]"
Margaret River,Australia,"[-33.955, 115.075]"
Langhorne Creek,Australia,"[-35.29625559999999, 139.038277]"
Pemberton,Australia,"[-34.44, 116.05]"
Frankland River,Australia,"[-34.351814, 117.0654331]"
Geographe,Australia,"[-33.6373407, 115.3815343]"
Western Australia,Australia,"[-27.6728168, 121.6283098]"
Adelaide Plains,Australia,"[-34.6057239, 138.7136193]"
Eden Valley,Australia,"[-34.6546423, 139.1009757]"
Adelaide,Australia,"[-34.9284989, 138.6007456]"
Victoria,Australia,"[-37.4713077, 144.7851531]"
Clarendon,Australia,"[-35.1054491, 138.6297435]"
